Year,Population
2000.00000, 51424.57836
2000.08333, 51291.41200
2000.16667, 51217.10657
2000.25000, 51085.68238
2000.33333, 51031.66172
2000.41667, 50928.37967
2000.50000, 50819.02171
2000.58333, 50758.31628
2000.66667, 50686.17641
2000.75000, 50624.58417
2000.83333, 50494.00375
2000.91667, 50418.93654
2001.00000, 50416.70359
2001.08333, 50342.31971
2001.16667, 50291.04952
2001.25000, 50279.07608
2001.33333, 50196.63941
2001.41667, 50163.16408
2001.50000, 50166.97814
2001.58333, 50171.66196
2001.66667, 50121.55759
2001.75000, 50044.41598
2001.83333, 50042.79290
2001.91667, 49904.78501
2002.00000, 49706.52889
2002.08333, 49560.91273
2002.16667, 49359.52012
2002.25000, 49090.36957
2002.33333, 48833.59072
2002.41667, 48681.02098
2002.50000, 48462.26311
2002.58333, 48269.49931
2002.66667, 47993.00317
2002.75000, 47850.61680
2002.83333, 47513.79124
2002.91667, 47243.94267
2003.00000, 46967.79222
2003.08333, 46693.73155
2003.16667, 46424.01640
2003.25000, 46122.88821
2003.33333, 45762.95287
2003.41667, 45483.16111
2003.50000, 45098.49058
2003.58333, 44798.49214
2003.66667, 44467.45745
2003.75000, 44124.36373
2003.83333, 43770.98412
2003.91667, 43296.42384
2004.00000, 43008.21191
2004.08333, 42758.31101
2004.16667, 42253.79234
2004.25000, 41777.17176
2004.33333, 41335.09905
2004.41667, 40852.79024
2004.50000, 40361.52243
2004.58333, 40010.58940
2004.66667, 39537.93060
2004.75000, 39054.44024
2004.83333, 38615.81888
2004.91667, 38390.11941
2005.00000, 37947.97701
2005.08333, 37572.16109
2005.16667, 37233.41686
2005.25000, 36925.66522
2005.33333, 36945.40951
2005.41667, 35992.96405
2005.50000, 35698.12715
2005.58333, 35646.24159
2005.66667, 35305.47726
2005.75000, 35036.91059
2005.83333, 34764.10258
2005.91667, 34469.21771
2006.00000, 34129.23172
2006.08333, 33739.05613
2006.16667, 33416.01094
2006.25000, 33057.95871
2006.33333, 32673.90661
2006.41667, 32468.52062
2006.50000, 32068.48250
2006.58333, 31788.91888
2006.66667, 31377.29037
2006.75000, 31040.24156
2006.83333, 30714.67749
2006.91667, 30442.43659
2007.00000, 30200.20547
2007.08333, 29994.53229
2007.16667, 29833.32896
2007.25000, 29700.69784
2007.33333, 29562.47599
2007.41667, 29426.40120
2007.50000, 29291.83830
2007.58333, 29212.86671
2007.66667, 29003.54788
2007.75000, 28903.19568
2007.83333, 28784.65291
2007.91667, 28598.37890
2008.00000, 28460.19108
2008.08333, 28381.37205
2008.16667, 28206.88621
2008.25000, 28058.46620
2008.33333, 27858.21622
2008.41667, 27718.11871
2008.50000, 27514.78446
2008.58333, 27386.25791
2008.66667, 27231.47656
2008.75000, 27016.68993
2008.83333, 26834.83677
2008.91667, 26746.81440
2009.00000, 26639.13462
2009.08333, 26496.36092
2009.16667, 26362.21032
2009.25000, 26221.07925
2009.33333, 26150.10562
2009.41667, 26018.77824
2009.50000, 25930.18091
2009.58333, 25752.65114
2009.66667, 25640.81961
2009.75000, 25514.12279
2009.83333, 25467.16174
2009.91667, 25313.42357
2010.00000, 25180.06770
2010.08333, 25042.38027
2010.16667, 24905.51152
2010.25000, 24768.51635
2010.33333, 24631.53180
2010.41667, 24494.55333
2010.50000, 24357.54811
2010.58333, 24220.67445
2010.66667, 24083.19234
2010.75000, 23948.30775
2010.83333, 23803.14238
2010.91667, 23719.11030
2011.00000, 23604.03697
2011.08333, 23454.13421
2011.16667, 23449.74735
2011.25000, 23319.43418
2011.33333, 23309.40557
2011.41667, 23182.62999
2011.50000, 23209.98221
2011.58333, 23147.54706
2011.66667, 23031.47143
2011.75000, 22972.45006
2011.83333, 22899.39980
2011.91667, 22839.78344
2012.00000, 22704.96941
2012.08333, 22693.65544
2012.16667, 22688.33197
2012.25000, 22563.98986
2012.33333, 22545.22953
2012.41667, 22432.48568
2012.50000, 22425.84477
2012.58333, 22345.98297
2012.66667, 22280.06609
2012.75000, 22211.76258
2012.83333, 22140.66313
2012.91667, 22079.81274
2013.00000, 21942.57751
2013.08333, 21936.75565
2013.16667, 21808.13417
2013.25000, 21799.39073
2013.33333, 21640.53866
2013.41667, 21539.09593
2013.50000, 21437.37639
2013.58333, 21338.49691
2013.66667, 21226.91241
2013.75000, 21132.31222
2013.83333, 21075.91998
2013.91667, 20937.74200
2014.00000, 20932.30399
2014.08333, 20800.00509
2014.16667, 20814.88700
2014.25000, 20789.91921
2014.33333, 20743.13372
2014.41667, 20724.03779
2014.50000, 20638.97859
2014.58333, 20621.76493
2014.66667, 20577.57719
2014.75000, 20500.52569
2014.83333, 20493.24372
2014.91667, 20493.80617
2015.00000, 20424.03683
2015.08333, 20357.30379
2015.16667, 20283.89196
2015.25000, 20241.49088
2015.33333, 20220.76465
2015.41667, 20141.58079
2015.50000, 20085.00360
2015.58333, 19955.97324
2015.66667, 19921.68180
2015.75000, 19935.24829
2015.83333, 19802.76153
2015.91667, 19801.42894
2016.00000, 19724.96115
2016.08333, 19672.94269
2016.16667, 19677.45934
2016.25000, 19680.98738
2016.33333, 19649.98283
2016.41667, 19566.45957
2016.50000, 19555.34046
2016.58333, 19497.92454
2016.66667, 19489.71146
2016.75000, 19426.83803
2016.83333, 19360.74684
2016.91667, 19365.38846
2017.00000, 19351.42228
2017.08333, 19276.66102
2017.16667, 19211.73551
2017.25000, 19134.74399
2017.33333, 19112.75743
2017.41667, 19070.64408
2017.50000, 19000.03397
2017.58333, 18925.13385
2017.66667, 18924.89786
2017.75000, 18794.03941
2017.83333, 18784.46951
2017.91667, 18660.81969
2018.00000, 18660.51840
2018.08333, 18576.17450
2018.16667, 18537.54848
2018.25000, 18561.05177
2018.33333, 18451.77093
2018.41667, 18425.73105
2018.50000, 18307.27442
2018.58333, 18294.11162
2018.66667, 18227.17924
2018.75000, 18169.09174
2018.83333, 18144.13711
2018.91667, 18038.04163
2019.00000, 17995.78297
2019.08333, 17912.72036
2019.16667, 17857.15509
2019.25000, 17699.53907
2019.33333, 17613.87292
2019.41667, 17554.38995
2019.50000, 17419.82380
2019.58333, 17348.30939
2019.66667, 17215.86429
2019.75000, 17136.80817
2019.83333, 17031.61992
2019.91667, 16999.14498
2020.00000, 16868.19931