Year,Concentration
2000.00000, 0.13027
2000.08333, 0.13364
2000.16667, 0.13604
2000.25000, 0.13931
2000.33333, 0.14181
2000.41667, 0.14537
2000.50000, 0.14891
2000.58333, 0.15152
2000.66667, 0.15464
2000.75000, 0.15727
2000.83333, 0.15945
2000.91667, 0.16285
2001.00000, 0.16631
2001.08333, 0.16951
2001.16667, 0.17234
2001.25000, 0.17629
2001.33333, 0.17936
2001.41667, 0.18344
2001.50000, 0.18782
2001.58333, 0.18986
2001.66667, 0.19268
2001.75000, 0.19615
2001.83333, 0.20068
2001.91667, 0.20540
2002.00000, 0.21400
2002.08333, 0.22388
2002.16667, 0.23470
2002.25000, 0.25003
2002.33333, 0.26552
2002.41667, 0.27620
2002.50000, 0.29014
2002.58333, 0.30459
2002.66667, 0.32022
2002.75000, 0.33632
2002.83333, 0.35002
2002.91667, 0.36398
2003.00000, 0.37881
2003.08333, 0.39190
2003.16667, 0.40534
2003.25000, 0.41668
2003.33333, 0.42675
2003.41667, 0.43927
2003.50000, 0.45189
2003.58333, 0.46450
2003.66667, 0.47711
2003.75000, 0.48970
2003.83333, 0.50248
2003.91667, 0.51397
2004.00000, 0.52221
2004.08333, 0.52999
2004.16667, 0.53633
2004.25000, 0.54103
2004.33333, 0.54586
2004.41667, 0.55173
2004.50000, 0.55748
2004.58333, 0.56211
2004.66667, 0.56679
2004.75000, 0.57242
2004.83333, 0.57693
2004.91667, 0.58126
2005.00000, 0.58428
2005.08333, 0.58935
2005.16667, 0.59282
2005.25000, 0.59676
2005.33333, 0.59951
2005.41667, 0.60281
2005.50000, 0.60516
2005.58333, 0.60863
2005.66667, 0.61208
2005.75000, 0.61529
2005.83333, 0.61740
2005.91667, 0.62015
2006.00000, 0.62392
2006.08333, 0.62582
2006.16667, 0.62754
2006.25000, 0.63090
2006.33333, 0.63339
2006.41667, 0.63456
2006.50000, 0.63691
2006.58333, 0.63899
2006.66667, 0.64022
2006.75000, 0.64318
2006.83333, 0.64575
2006.91667, 0.64655
2007.00000, 0.64848
2007.08333, 0.65083
2007.16667, 0.65312
2007.25000, 0.65540
2007.33333, 0.65768
2007.41667, 0.65879
2007.50000, 0.66010
2007.58333, 0.66259
2007.66667, 0.66426
2007.75000, 0.66652
2007.83333, 0.66883
2007.91667, 0.67061
2008.00000, 0.67208
2008.08333, 0.67408
2008.16667, 0.67646
2008.25000, 0.67765
2008.33333, 0.67998
2008.41667, 0.68223
2008.50000, 0.68462
2008.58333, 0.68644
2008.66667, 0.68797
2008.75000, 0.69040
2008.83333, 0.69267
2008.91667, 0.69493
2009.00000, 0.69732
2009.08333, 0.69854
2009.16667, 0.70080
2009.25000, 0.70294
2009.33333, 0.70446
2009.41667, 0.70757
2009.50000, 0.70838
2009.58333, 0.70996
2009.66667, 0.71317
2009.75000, 0.71523
2009.83333, 0.71612
2009.91667, 0.71825
2010.00000, 0.72056
2010.08333, 0.72286
2010.16667, 0.72515
2010.25000, 0.72744
2010.33333, 0.72973
2010.41667, 0.73203
2010.50000, 0.73432
2010.58333, 0.73661
2010.66667, 0.73890
2010.75000, 0.74120
2010.83333, 0.74349
2010.91667, 0.74578
2011.00000, 0.74808
2011.08333, 0.75037
2011.16667, 0.75267
2011.25000, 0.75491
2011.33333, 0.75755
2011.41667, 0.76129
2011.50000, 0.76350
2011.58333, 0.76426
2011.66667, 0.76713
2011.75000, 0.77074
2011.83333, 0.77311
2011.91667, 0.77539
2012.00000, 0.77781
2012.08333, 0.78110
2012.16667, 0.78352
2012.25000, 0.78723
2012.33333, 0.78997
2012.41667, 0.79296
2012.50000, 0.79561
2012.58333, 0.79880
2012.66667, 0.80127
2012.75000, 0.80457
2012.83333, 0.80798
2012.91667, 0.81037
2013.00000, 0.81371
2013.08333, 0.81587
2013.16667, 0.81820
2013.25000, 0.82048
2013.33333, 0.82278
2013.41667, 0.82507
2013.50000, 0.82736
2013.58333, 0.82966
2013.66667, 0.83195
2013.75000, 0.83424
2013.83333, 0.83654
2013.91667, 0.83883
2014.00000, 0.84112
2014.08333, 0.84341
2014.16667, 0.84571
2014.25000, 0.84799
2014.33333, 0.85033
2014.41667, 0.85245
2014.50000, 0.85592
2014.58333, 0.85717
2014.66667, 0.86049
2014.75000, 0.86196
2014.83333, 0.86598
2014.91667, 0.86595
2015.00000, 0.86927
2015.08333, 0.87139
2015.16667, 0.87387
2015.25000, 0.87591
2015.33333, 0.87768
2015.41667, 0.88098
2015.50000, 0.88450
2015.58333, 0.88570
2015.66667, 0.88794
2015.75000, 0.88909
2015.83333, 0.89199
2015.91667, 0.89458
2016.00000, 0.89599
2016.08333, 0.89858
2016.16667, 0.89996
2016.25000, 0.90194
2016.33333, 0.90424
2016.41667, 0.90660
2016.50000, 0.90670
2016.58333, 0.90884
2016.66667, 0.90899
2016.75000, 0.91175
2016.83333, 0.91294
2016.91667, 0.91379
2017.00000, 0.91643
2017.08333, 0.91795
2017.16667, 0.91887
2017.25000, 0.92120
2017.33333, 0.92130
2017.41667, 0.92349
2017.50000, 0.92362
2017.58333, 0.92593
2017.66667, 0.92689
2017.75000, 0.92811
2017.83333, 0.92916
2017.91667, 0.93089
2018.00000, 0.93356
2018.08333, 0.93380
2018.16667, 0.93588
2018.25000, 0.93601
2018.33333, 0.93820
2018.41667, 0.93828
2018.50000, 0.94095
2018.58333, 0.94233
2018.66667, 0.94324
2018.75000, 0.94442
2018.83333, 0.94580
2018.91667, 0.94645
2019.00000, 0.94831
2019.08333, 0.94858
2019.16667, 0.95071
2019.25000, 0.95187
2019.33333, 0.95285
2019.41667, 0.95325
2019.50000, 0.95543
2019.58333, 0.95654
2019.66667, 0.95695
2019.75000, 0.95826
2019.83333, 0.96008
2019.91667, 0.96018
2020.00000, 0.96104